id,sn,sn_2,date,title,link
77,足纪字[2018]111号,,,关于对长春农商银行女子足球队官员李伟奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181109/25569.html
78,足纪字[2018]110号,,,关于对内蒙古满洲里边城雪狼足球俱乐部队球员谢飞违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181109/25568.html
79,足纪字[2018]109号,,,关于对山东鲁能泰山足球俱乐部队球员塔尔德利违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181031/25512.html
80,足纪字[2018]108号,,,关于对上海上港集团足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181031/25511.html
81,足纪字[2018]107号,,,关于对四川都江堰赛区违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181031/25510.html
82,足纪字[2018]106号,,,关于沈阳城市足球俱乐部队球员李志斌违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25493.html
83,足纪字[2018]105号,,,关于沈阳城市足球俱乐部队俱乐部官员徐冀宁违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25492.html
84,足纪字[2018]104号,,,关于对宁夏吴忠赛区违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25491.html
85,足纪字[2018]103号,,,关于长春大众卓越女子U14足球队官员王维鹤违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25490.html
86,足纪字[2018]102号,,,关于对恒大足球学校U19B队球员马升违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25489.html
87,足纪字[2018]101号,,,关于对武汉卓尔职业足球俱乐部U19队球员丁荆龙违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25488.html
88,足纪字[2018]100号,,,关于对浙江绿城足球俱乐部U19队球员邵仁哲违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25487.html
89,足纪字[2018]099号,,,关于对延边富德足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25486.html
90,足纪字[2018]098号,,,关于对江苏苏宁足球俱乐部苏宁易购队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181027/25485.html
91,,,,关于对上海上港集团足球俱乐部队俱乐部官员佩雷拉违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181018/25356.html
92,,,,关于对青岛赛区（青岛中能足球俱乐部队主场）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181018/25355.html
93,,,,关于对河北华夏幸福足球俱乐部队球员张呈栋违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181003/25097.html
94,,,,关于对天津泰达足球俱乐部队球员白岳峰违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181003/25096.html
95,,,,关于对贵州恒丰足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20181003/25095.html
96,足纪字[2018]092号,,,关于对贵州恒丰足球俱乐部队官员佩德莱斯库违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180927/25058.html
97,足纪字[2018]091号,,,关于对大连一方足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180927/25057.html
98,足纪字[2018]090号,,,关于对北京人和足球俱乐部队球员靳辉违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180927/25056.html
99,,,,关于对中国U19国家男子足球队运动员周俊辰违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180917/24984.html
100,,,,关于对长春农商银行女子足球队官员李伟奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180913/24952.html
101,,,,关于对黑龙江火山鸣泉足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180913/24951.html
102,,,,关于对黑龙江火山鸣泉足球俱乐部队官员李海军违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180913/24950.html
103,,,,关于对内蒙古盛乐蒙羊足球俱乐部U19队球员甘彬宏违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180913/24949.html
104,,,,关于对青岛中能U19队球员周宝林违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180913/24948.html
105,足纪字[2018]084号,,,关于对重庆当代力帆足球俱乐部队球员隋维杰违规违纪的处罚决定 ,http://www.thecfa.cn/cftz/20180827/24387.html
106,足纪字[2018]083号,,,关于对青岛黄海足球俱乐部队官员米盖尔违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180817/24295.html
107,足纪字[2018]082号,,,关于对上海绿地申花足球俱乐部预备队官员范志毅违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180817/24294.html
108,足纪字[2018]081号,,,关于对北京人和足球俱乐部队球员刘健违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180817/24293.html
109,足纪字[2018]080号,,,关于对长春亚泰足球俱乐部队球员张力违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24243.html
110,足纪字[2018]079号,,,关于对大连一方足球俱乐部队球员朱晓刚违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24242.html
111,足纪字[2018]078号,,,关于对长春亚泰足球俱乐部U19队球员吕飞、刘津违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24241.html
112,足纪字[2018]077号,,,关于对上海申鑫足球俱乐部U19队球员戴淋强、沈伊唯违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24240.html
113,足纪字[2018]076号,,,关于对新疆天山雪豹足球俱乐部雪豹纳欢U19队球员木卡代斯违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24239.html
114,足纪字[2018]075号,,,关于对河南建业足球俱乐部队球员卡兰加违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24238.html
115,足纪字[2018]074号,,,关于对浙江绿城足球俱乐部队官员岳璋违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24236.html
116,足纪字[2018]073号,,,关于对内蒙古中优足球俱乐部呼和浩特足球队官员郑才煜违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24235.html
117,足纪字[2018]072号,,,关于对江苏苏宁足球俱乐部苏宁易购队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24234.html
118,足纪字[2018]071号,,,关于对陕西省大秦之水智诚女子足球队官员张峥违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180810/24233.html
119,足纪字[2018]070号,,,关于对江苏苏宁足球俱乐部苏宁易购队球员帕莱塔违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180731/24106.html
120,足纪字[2018]069号,,,关于对重庆当代力帆足球俱乐部斯威队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180725/24089.html
121,足纪字[2018]068号,,,关于对浙江毅腾足球俱乐部轻纺城队球员于涛违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180725/24088.html
122,足纪字[2018]067号,,,关于对浙江毅腾足球俱乐部轻纺城队球员刘小龙违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180725/24084.html
123,足纪字[2018]066号,,,关于对上海申鑫足球俱乐部队球员张文涛违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180711/24028.html
124,足纪字[2018]065号,,,关于对辽宁足球俱乐部沈阳宏运U19队球员崔洪元违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180711/24027.html
125,足纪字[2018]068号,,,关于取消安徽合肥桂冠足球俱乐部注册资格的处罚决定,http://www.thecfa.cn/cftz/20180711/24025.html
126,足纪字[2018]067号,,,关于取消沈阳东进足球俱乐部注册资格的处罚决定,http://www.thecfa.cn/cftz/20180711/24024.html
127,,,,关于对中国国家男子足球队球员王燊超违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180612/23148.html
128,足纪字[2018]064号,,,关于对广州富力足球俱乐部队俱乐部官员斯托伊科维奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23055.html
129,足纪字[2018]063号,,,关于对贵州恒丰足球俱乐部队俱乐部官员南多违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23054.html
130,足纪字[2018]062号,,,关于对北京人和足球俱乐部队球员奥古斯托违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23053.html
131,足纪字[2018]061号,,,关于对贵州恒丰足球俱乐部u19队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23052.html
132,足纪字[2018]060号,,,关于对江苏苏宁足球俱乐部苏宁易购u19队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23051.html
133,足纪字[2018]059号,,,关于对江苏苏宁足球俱乐部苏宁易购u19队球员姚春阳违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180524/23050.html
134,足纪字[2018]058号,,,关于对青岛黄海足球俱乐部队俱乐部官员于红毅违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23049.html
