球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
上海绿地申花队,官员,裁判员,握手礼时进场 击打 辱骂,54 69 47 49,12月,20000,17,4,
青岛黄海队,官员,器材,赛后破坏赛区设施,104,警告,10000,17,5,
重庆当代力帆队,运动员,运动员,侮辱性语言辱骂,54,4,28000,17,9,
青岛中能U19队,运动员,裁判员,侮辱性语言辱骂 情节严重,54 47 49 100,8,,违规违纪停赛细则,17,
内蒙古盛乐蒙羊U19队,运动员,裁判员,侮辱性语言辱骂 情节严重,54 47 49 100,7,,违规违纪停赛细则,22,
黑龙江火山鸣泉队,官员,裁判员,冲入场内指责 情节严重,54 47 49,7,49000,17,4,
黑龙江火山鸣泉队,俱乐部,运动员 官员,多名球员、官员引起赛场混乱 情节严重,58 49 12,通报批评,200000,17,4,
长春农商银行队,官员,裁判员,冲出替补席指责,54 47 49,5,10000,17,5,
中国U19国家男子足球队,运动员,,"国际比赛态度消极、行为散漫、
无视教练员要求，赛后擅自外出组织聚餐",,12月,,国家队管理细则,6,
北京人和队,运动员,,出非道德行为,54,5,35000,17,3,
大连一方队,俱乐部,,未按规定时间入场，导致开球时间延误,66,通报批评,20000,17,5,
贵州恒丰队,官员,裁判员,侮辱性语言辱骂,54 47 49,7,49000,17,5,
贵州恒丰队,俱乐部,器材,替补席官员违规使用电子通讯设备,66,通报批评,40000,17,3,
天津泰达队,运动员,运动员,报复性蹬踹,54,6,42000,17,3,
河北华夏幸福队,运动员,裁判员,指责,54,5,35000,17,3,
赛区,青岛赛区,器材,观众向场内投掷矿泉水瓶,82,通报批评,,,12,
上海上港队,官员,,非体育道德行为,54,3,21000,17,11,
江苏苏宁苏宁易购队,俱乐部,,主教练未按规定接受主转播商的到达采访,66,通报批评,40000,17,4,
延边富德队,俱乐部,,引起赛场混乱并未按规定完成比赛仪式,58 49 67 12,通报批评,600000,17,5,
浙江绿城U19队,运动员,运动员,击打（无球状态下）,54 49 100,6,,违规违纪停赛细则,13,
武汉卓尔职业U19队,运动员,运动员,从替补席冲出，推搡,54 49 100,6,,违规违纪停赛细则,13,
恒大足球学校U19队,运动员,裁判员,侮辱性语言辱骂,54 47 49 100,7,,违规违纪停赛细则,7,
长春大众卓越U14队,官员,裁判员,辱骂 脚踹,54 47 49,6月,,违规违纪停赛细则,13,
赛区,宁夏吴忠赛区,,未安排救护车到达体育场，导致比赛推迟,104,通报批评,10000,17,12,
沈阳城市队,官员,裁判员,进场 辱骂,54 47 49 100,7,35000,17,12,
沈阳城市队,运动员,裁判员,推击,54 47 49 100,8,40000,17,12,
赛区,四川都江堰赛区,,观众燃放冷烟火,79,通报批评,30000,17,3,
上海上港队,俱乐部,,未按规定时间入场，导致下半场开球延误,66,通报批评,40000,17,2,
山东鲁能泰山队,运动员,,赛前奏唱国歌时，举止不庄重,104,1,,,2,
内蒙古满洲里边城雪狼队,运动员,运动员 裁判员,"抢夺裁判员手中的黄牌并摔在地上
向对方球员吐唾沫并辱骂",54 47 49 100,12,24000,17,7,
长春农商银行队,官员,比赛官员,用球故意砸人 连续违纪,54 47 49 100,12月,120000,17,6,
河南建业队,运动员,运动员 裁判员,"故意跨过对方球员身体，蹬踏球员
辱骂裁判员",54 47 49,10,70000,17,4,
